c1,c2,c1_height,c2_height,lcs_height,wupalmer
Villeray,Parc-Jarry,1,2,1,0.6666666666666666
Villeray,Franois-Perrault,1,2,1,0.6666666666666666
Gabriel-Sagard,French,2,7,2,0.4444444444444444
Gabriel-Sagard,African,2,6,1,0.25
Gabriel-Sagard,Italian,2,6,2,0.5
Gabriel-Sagard,Pizza,2,7,1,0.2222222222222222
Gabriel-Sagard,South-East Asian,2,8,2,0.4
Gabriel-Sagard,Caf,2,8,2,0.4
Gabriel-Sagard,Middle Eastern,2,9,2,0.36363636363636365
Gabriel-Sagard,Fast Food,2,8,2,0.4
Gabriel-Sagard,Iberian,2,6,1,0.25
Gabriel-Sagard,East Asian,2,7,2,0.4444444444444444
Gabriel-Sagard,Latin,2,9,2,0.36363636363636365
Gabriel-Sagard,Mediterranean,2,5,2,0.5714285714285714
Gabriel-Sagard,Crmazie,2,2,1,0.5
Gabriel-Sagard,Parc-Extension,2,2,1,0.5
Gabriel-Sagard,South Asian,2,5,1,0.2857142857142857
Gabriel-Sagard,Villeray,2,1,1,0.6666666666666666
Gabriel-Sagard,Gabriel-Sagard,2,2,2,1.0
Gabriel-Sagard,Sainte-Lucie,2,2,1,0.5
Gabriel-Sagard,Ren-Goupil,2,2,1,0.5
Gabriel-Sagard,Parc-Jarry,2,2,1,0.5
Gabriel-Sagard,Franois-Perrault,2,2,1,0.5
Sainte-Lucie,French,2,7,2,0.4444444444444444
Sainte-Lucie,African,2,6,2,0.5
Sainte-Lucie,Italian,2,6,2,0.5
Sainte-Lucie,Pizza,2,7,1,0.2222222222222222
Sainte-Lucie,South-East Asian,2,8,2,0.4
Sainte-Lucie,Caf,2,8,2,0.4
Sainte-Lucie,Middle Eastern,2,9,2,0.36363636363636365
Sainte-Lucie,Fast Food,2,8,2,0.4
Sainte-Lucie,Iberian,2,6,1,0.25
Sainte-Lucie,East Asian,2,7,2,0.4444444444444444
Sainte-Lucie,Latin,2,9,2,0.36363636363636365
Sainte-Lucie,Mediterranean,2,5,1,0.2857142857142857
Sainte-Lucie,Crmazie,2,2,1,0.5
Sainte-Lucie,Parc-Extension,2,2,1,0.5
Sainte-Lucie,South Asian,2,5,2,0.5714285714285714
Sainte-Lucie,Villeray,2,1,1,0.6666666666666666
Sainte-Lucie,Gabriel-Sagard,2,2,1,0.5
Sainte-Lucie,Sainte-Lucie,2,2,2,1.0
Sainte-Lucie,Ren-Goupil,2,2,1,0.5
Sainte-Lucie,Parc-Jarry,2,2,1,0.5
Sainte-Lucie,Franois-Perrault,2,2,1,0.5
Ren-Goupil,French,2,7,1,0.2222222222222222
Ren-Goupil,African,2,6,1,0.25
Ren-Goupil,Italian,2,6,1,0.25
Ren-Goupil,Pizza,2,7,2,0.4444444444444444
Ren-Goupil,South-East Asian,2,8,1,0.2
Ren-Goupil,Caf,2,8,1,0.2
Ren-Goupil,Middle Eastern,2,9,2,0.36363636363636365
Ren-Goupil,Fast Food,2,8,1,0.2
